Campaign Name,Placement Name,Media Property,Delivery Site,Monitored Ads,Eligible Impressions,Measurement Rate,Measured Impressions,Authentic Viewable Rate,Authentic Viewable Impressions,Viewable Rate,Viewable Impressions,Average Time (s) - Viewable Impressions,Total Viewable Time (s),100% Display Viewable Rate,100% Display Viewable Impressions,50% Display Viewable 1-5 Secs Rate,50% Display Viewable 5-15 Secs Rate,50% Display Viewable >15 Secs Rate,Authentic Custom Viewable Rate,Authentic Custom Viewable Impressions,Custom Viewable Rate,Custom Viewable Impressions
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,justonecookbook.com,"3,406","3,406",0.906635,"3,088",0.666775,"2,059",0.962435,"2,972",26.00402793,"77,283.97",0.01197,37,0.063733,0.067292,0.830476,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,space.com,"3,381","3,381",0.84265,"2,849",0.87364,"2,489",0.9649,"2,749",31.02894725,"85,298.58",0.054972,157,0.161064,0.132353,0.668768,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,wkbw.com,"3,355","3,355",0.870343,"2,920",0.540411,"1,578",0.884932,"2,584",19.85940635,"51,316.71",0.210113,615,0.17424,0.164332,0.543902,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,justonecookbook.com,"3,343","3,343",0.924319,"3,090",0.656958,"2,030",0.964078,"2,979",25.9476378,"77,298.01",0.009699,30,0.063369,0.071452,0.828322,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,denverpost.com,"3,311","3,311",0.903957,"2,993",0.600735,"1,798",0.950885,"2,846",20.86889529,"59,392.88",0.219192,667,0.141965,0.120605,0.672691,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,politicalwire.com,"3,299","3,298",0.924803,"3,050",0.406885,"1,241",0.956066,"2,916",22.04934774,"64,295.90",0.467452,"1,429",0.101407,0.132156,0.720314,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,popularmechanics.com,"3,276","3,276",0.96978,"3,177",0.802644,"2,550",0.982059,"3,120",24.29396667,"75,797.18",0.111391,354,0.125236,0.098804,0.757709,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - GE_x:|2wbd6k,Kargo,popularmechanics.com,"3,251","3,251",0.96924,"3,151",0.815297,"2,569",0.984449,"3,102",24.37159155,"75,600.68",0.118655,374,0.127221,0.092322,0.764594,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,farmersalmanac.com,"3,236","3,236",0.894005,"2,893",0.604908,"1,750",0.944694,"2,733",21.07378668,"57,594.66",0.321123,938,0.120507,0.150976,0.664156,,,,
GCRU25US000_2D-15801762_DIG_US_H1'25 RMI Display PMP + OE_omg_NU_BURST1_AWR_PROG_TRADEDESK_NU_NU_NU_H1'25 RMI Display PMP + OE_NU_NU:|ypmovv,GCRU25US000_DIG_BURST1_awa_TRADEDESK_TRADEDESK_DISPLAY_ctm_cpm_3p_us-nat_x_en_1x1_x_ssf_x_cld_cpm_mlt_cus_a18p-opnelt-x_x_Kargo_Runway Display - SMB_x:|ceafah,Kargo,denverpost.com,"3,230","3,230",0.897833,"2,900",0.613448,"1,779",0.951034,"2,758",20.85656708,"57,522.41",0.209634,618,0.135007,0.132293,0.66825,,,,
