Reporting Date,Deal Name,Deal ID,Rate,% SCYLLA Impressions,Impressions,Gross Revenue,eCPM,Bid Requests,Valid Bid Responses,Bid Responses,Response Rate,Win Rate (Client),Avg Bid CPM,AVG% above Floor price needed to win Bid (CPM)
3/4/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"239,262","$4,137.35 ",$17.29 ,"669,745,300","1,047,106","1,047,477",0.16%,22.85%,$17.35 ,102.06%
3/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"190,030","$1,333.42 ",$7.02 ,"356,337,900","542,894","554,175",0.15%,35.00%,$7.02 ,100.29%
3/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"704,852","$4,452.52 ",$6.32 ,"1,042,144,700","2,355,739","2,418,225",0.23%,29.92%,$6.34 ,100.79%
3/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"458,553","$3,348.50 ",$7.30 ,"1,042,144,700","1,353,408","1,359,724",0.13%,33.88%,$7.31 ,100.27%
3/5/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"221,541","$4,164.15 ",$18.80 ,"663,771,300","772,365","772,744",0.12%,28.68%,$18.93 ,111.35%
3/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"139,069",$976.01 ,$7.02 ,"349,037,300","513,850","521,129",0.15%,27.06%,$7.01 ,100.14%
3/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Video,KRG-pja5-43673,$7.29 ,$1.00 ,"88,715",$647.75 ,$7.30 ,"1,008,741,700","284,939","286,753",0.03%,31.13%,$7.30 ,100.14%
3/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_In-Article_300x250_1P OE AUDIENCE_Cross-Platform Venti Display,KRG-x8c8-43674,$6.29 ,$1.00 ,"549,644","$3,466.82 ",$6.31 ,"1,008,741,700","2,483,743","2,502,228",0.25%,22.13%,$6.31 ,100.32%
3/6/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_Instream Video_1P OE AUDIENCE_Cross-Platform Enhanced Pre-Roll,KRG-9qcd-43672,$17.00 ,$1.00 ,"341,163","$6,536.13 ",$19.16 ,"659,587,000","1,077,938","1,079,673",0.16%,31.65%,$19.22 ,113.06%
3/7/2025,Amazon U.S._RMI_Good Employer and Pro SMB_H1'25_TTD_ADHESION_1P OE AUDIENCE_Cross-Platform Runway,KRG-rlf9-43675,$7.00 ,$1.00 ,"137,637",$965.36 ,$7.01 ,"346,249,400","342,520","343,967",0.10%,40.18%,$7.01 ,100.14%
